,Unnamed: 0,dateSold,propertyType,lotAreaValue,address,imgSrc,price,listingDateTime,longitude,latitude,listingStatus,zpid,livingArea,daysOnZillow,bedrooms,bathrooms,country,currency,lotAreaUnit,hasImage,listingSubType.is_newHome
37,37,1641542400000,SINGLE_FAMILY,10379.0,"617 Truman Cir SW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/ea3c3cc612e061163629aad3b8e88375-p_e.jpg,700000,,-77.26681,38.886448,RECENTLY_SOLD,51804054,1958.0,-1,3.0,1.0,USA,USD,sqft,True,
38,38,1641456000000,SINGLE_FAMILY,0.33,"409 Tapawingo Rd SW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/6230d25f38ee4b2c82a15e4966602487-p_e.jpg,2150000,,-77.26253,38.890034,RECENTLY_SOLD,51772062,6575.0,-1,6.0,6.0,USA,USD,acres,True,True
39,39,1641369600000,SINGLE_FAMILY,0.3,"8503 Stonewall Dr, Vienna, VA 22180",https://photos.zillowstatic.com/fp/3a4cc62b4083da28bd89cec391f51923-p_e.jpg,825000,,-77.239746,38.890015,RECENTLY_SOLD,51776870,2256.0,-1,4.0,3.0,USA,USD,acres,True,
41,1,1644566400000,SINGLE_FAMILY,10018.8,"1921 Aubrey Place Ct, Vienna, VA 22182",https://photos.zillowstatic.com/fp/f3015597ee8082357d1859a0ca3ec755-p_e.jpg,875000,,-77.28347,38.919266,RECENTLY_SOLD,51745950,2226.0,-1,5.0,3.0,USA,USD,sqft,True,
43,3,1644566400000,SINGLE_FAMILY,0.28,"2315 Tanglevale Dr, Vienna, VA 22181",https://photos.zillowstatic.com/fp/d567ec1a74d4f4b1c474f0294850f2f9-p_e.jpg,901000,,-77.288086,38.901722,RECENTLY_SOLD,51771108,2521.0,-1,4.0,3.0,USA,USD,acres,True,
120,0,1641369600000,SINGLE_FAMILY,5.0,"1536 Windstone Dr, Vienna, VA 22182",https://photos.zillowstatic.com/fp/f4feb3534d784b2731bb204dcc9f8e1a-p_e.jpg,1275000,,-77.29515,38.94795,RECENTLY_SOLD,51723986,5800.0,-1,5.0,5.0,USA,USD,sqft,True,
121,1,1641283200000,SINGLE_FAMILY,0.46981175390266,"2221 Chain Bridge Rd, Vienna, VA 22182","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=38.91140365600586,-77.24818420410156&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=SdmaVOadr_4yOfUJndr-iMcv0ow=",740000,,-77.248184,38.911404,RECENTLY_SOLD,51773440,1370.0,-1,3.0,2.5,USA,USD,acres,,
122,2,1641283200000,SINGLE_FAMILY,6098.4,"8321 Electric Ave, Vienna, VA 22182",https://photos.zillowstatic.com/fp/1b55418d124a887467a419fbd6b43f45-p_e.jpg,755000,,-77.23243,38.899956,RECENTLY_SOLD,51776790,1958.0,-1,3.0,4.0,USA,USD,sqft,True,
123,3,1640937600000,SINGLE_FAMILY,0.25,"1858 Foxstone Dr, Vienna, VA 22182",https://photos.zillowstatic.com/fp/feb1ddb8b1625f102b48fddf40b9b74f-p_e.jpg,1275000,,-77.260056,38.91704,RECENTLY_SOLD,51746866,3906.0,-1,5.0,5.0,USA,USD,acres,True,
124,4,1640937600000,SINGLE_FAMILY,0.34,"202 Elm St SW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/d765053526e4f8e40a8e56d8c3d2092c-p_e.jpg,869900,,-77.263306,38.896885,RECENTLY_SOLD,51772623,6600.0,-1,6.0,6.0,USA,USD,acres,True,
125,5,1640937600000,SINGLE_FAMILY,0.37,"635 Frederick St SW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/4b365e1621aa2439f4b3cb170fffeb08-p_e.jpg,2137500,,-77.264244,38.89128,RECENTLY_SOLD,51772276,6971.0,-1,6.0,7.0,USA,USD,acres,True,
126,6,1640851200000,SINGLE_FAMILY,3.02,"10420 Hunters Valley Rd, Vienna, VA 22181",https://photos.zillowstatic.com/fp/d2966e8c13e23c4f115f3b40027341e8-p_e.jpg,2195386,,-77.30702,38.91085,RECENTLY_SOLD,51766904,6195.0,-1,6.0,6.0,USA,USD,sqft,True,
127,7,1640851200000,SINGLE_FAMILY,0.3,"2402 Jackson Pkwy, Vienna, VA 22180",https://photos.zillowstatic.com/fp/b27d7a3c56180e5f8b9207e69ad6371b-p_e.jpg,901000,,-77.23515,38.8936,RECENTLY_SOLD,51776911,2240.0,-1,5.0,3.0,USA,USD,acres,True,
128,8,1640851200000,SINGLE_FAMILY,1.05,"540 Orchard St NW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/4bcf0de1f0fa2673a98bf96fc466b67f-p_e.jpg,2768000,,-77.27912,38.899624,RECENTLY_SOLD,51770510,6650.0,-1,6.0,6.0,USA,USD,sqft,True,
129,9,1640764800000,SINGLE_FAMILY,4.87,"9525 Leesburg Pike, Vienna, VA 22182",https://photos.zillowstatic.com/fp/5c0994b4f125a8cef5d6df1644141cf1-p_e.jpg,3135000,,-77.27719,38.95824,RECENTLY_SOLD,2067644894,13563.0,-1,4.0,2.0,USA,USD,sqft,True,
130,10,1640764800000,SINGLE_FAMILY,0.31363636363636,"2632 Wooster Ct, Vienna, VA 22180","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=38.88428497314453,-77.23880767822266&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=EN52q2dJC2VERh0A2qp4pNBJoQs=",735000,,-77.23881,38.884285,RECENTLY_SOLD,51808391,1800.0,-1,4.0,2.5,USA,USD,acres,,
131,11,1640678400000,SINGLE_FAMILY,0.25,"403 Kingsley Rd SW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/94337d146095c204491f112a46198fe8-p_e.jpg,1635000,,-77.2596,38.88775,RECENTLY_SOLD,51803400,4627.0,-1,5.0,5.0,USA,USD,acres,True,
132,12,1640246400000,SINGLE_FAMILY,0.29,"605 Manor Dr NE, Vienna, VA 22180",https://photos.zillowstatic.com/fp/e7afb210077f53754787787d0aba8dcc-p_e.jpg,1175000,,-77.25157,38.920776,RECENTLY_SOLD,51746388,2818.0,-1,5.0,3.0,USA,USD,acres,True,
133,13,1640073600000,SINGLE_FAMILY,0.34,"8325 Carnegie Dr, Vienna, VA 22180",https://photos.zillowstatic.com/fp/ad580f5c2a4aae0e1d948cfac1da7146-p_e.jpg,500000,,-77.23213,38.882812,RECENTLY_SOLD,51808295,1976.0,-1,4.0,2.0,USA,USD,acres,True,
134,14,1640073600000,SINGLE_FAMILY,5227.2,"9806 Fox Rest Ln, Vienna, VA 22181",https://photos.zillowstatic.com/fp/d3c4efd945b013cf98df67c563541d65-p_e.jpg,1125000,,-77.28515,38.885506,RECENTLY_SOLD,51802798,3747.0,-1,4.0,4.0,USA,USD,sqft,True,
135,15,1640073600000,SINGLE_FAMILY,0.97300275482094,"1409 Trap Rd, Vienna, VA 22182","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=38.945457458496094,-77.26399993896484&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=I6RWy69-58To2jhy5KJbcJVIZoE=",750000,,-77.264,38.945457,RECENTLY_SOLD,51725472,1193.0,-1,2.0,3.0,USA,USD,acres,,
136,16,1639987200000,SINGLE_FAMILY,0.37,"1017 Ware St SW #3, Vienna, VA 22180",https://photos.zillowstatic.com/fp/07653410b693f8ea20969f1c48558c2f-p_e.jpg,1750485,,,,RECENTLY_SOLD,2070225227,3644.0,-1,5.0,6.0,USA,USD,acres,True,
137,17,1639987200000,SINGLE_FAMILY,0.29,"500 Malcolm Rd NW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/709503c38fc81b1595190b5c09bfea71-p_e.jpg,775000,,-77.27763,38.901817,RECENTLY_SOLD,51770529,2663.0,-1,4.0,5.0,USA,USD,acres,True,
138,18,1639987200000,SINGLE_FAMILY,0.34,"220 Lawyers Rd NW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/744f26ae017d473cd90d6e65166c0f6f-p_e.jpg,950000,,-77.26899,38.90141,RECENTLY_SOLD,51771830,2583.0,-1,4.0,3.0,USA,USD,acres,True,
139,19,1639987200000,SINGLE_FAMILY,0.25,"2923 Hibbard St, Oakton, VA 22124",https://photos.zillowstatic.com/fp/60ad93d57e57c630d45e02d28511a500-p_e.jpg,620000,,-77.29348,38.87946,RECENTLY_SOLD,51799149,1066.0,-1,2.0,1.0,USA,USD,acres,True,
140,20,1639987200000,SINGLE_FAMILY,0.36999540863177,"1017 Ware St SW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/abbe3e5cc9687b473567e6ebecc933cd-p_e.jpg,1750485,,-77.261635,38.883793,RECENTLY_SOLD,333569343,5032.0,-1,5.0,6.0,USA,USD,acres,True,
141,21,1639987200000,SINGLE_FAMILY,0.37008723599633,"1012 Mountfort Ct SW, Vienna, VA 22180","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=38.885868072509766,-77.26162719726562&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=l6D0zxkF-KaW_j3prIzcvO6l9Z0=",810000,,-77.26163,38.885868,RECENTLY_SOLD,51804226,2004.0,-1,,4.0,USA,USD,acres,,
142,22,1639728000000,SINGLE_FAMILY,2.2,"2209 Hunter Mill Rd, Vienna, VA 22181",https://photos.zillowstatic.com/fp/fad01ee9ef30232bd640bef4dc7f9cc7-p_e.jpg,775000,,-77.30318,38.917603,RECENTLY_SOLD,51744194,1560.0,-1,2.0,2.0,USA,USD,sqft,True,
143,23,1639728000000,SINGLE_FAMILY,2.1,"10150 Browns Mill Rd, Vienna, VA 22182",https://photos.zillowstatic.com/fp/f92050fb21158ac486ac55d7ebd9614c-p_e.jpg,2289580,,,,RECENTLY_SOLD,2067022280,7965.0,-1,6.0,6.0,USA,USD,sqft,True,
144,24,1639728000000,SINGLE_FAMILY,0.42,"9468 Deramus Farm Ct, Vienna, VA 22182",https://photos.zillowstatic.com/fp/c5740e1bd931215d6b86444efdf58398-p_e.jpg,1376100,,-77.27305,38.954754,RECENTLY_SOLD,51725403,3855.0,-1,7.0,5.0,USA,USD,acres,True,
145,25,1639728000000,SINGLE_FAMILY,5227.2,"9854 Palace Green Way, Vienna, VA 22181",https://photos.zillowstatic.com/fp/e2a0599a06679506e6280aacdb8dc109-p_e.jpg,1260000,,-77.28436,38.88271,RECENTLY_SOLD,72489109,5688.0,-1,5.0,5.0,USA,USD,sqft,True,
146,26,1639728000000,SINGLE_FAMILY,0.31,"1004 Country Club Dr NE, Vienna, VA 22180",https://photos.zillowstatic.com/fp/0a4c38f1174539b389e291a5edaa7749-p_e.jpg,1115512,,-77.253784,38.919804,RECENTLY_SOLD,51746445,2116.0,-1,4.0,3.0,USA,USD,acres,True,
147,27,1639728000000,SINGLE_FAMILY,0.50505050505051,"620 Hine St SE, Vienna, VA 22180","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=38.90821838378906,-77.25273895263672&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=YtVd53yR5vi6qhOxgVADs2xSxck=",1000000,,-77.25274,38.90822,RECENTLY_SOLD,51769732,1404.0,-1,,2.5,USA,USD,acres,,
148,28,1639728000000,SINGLE_FAMILY,0.25,"1915 Grand Ct, Vienna, VA 22182",https://photos.zillowstatic.com/fp/833903ac5674ffb3c8938915e5457911-p_e.jpg,1090100,,-77.27138,38.918274,RECENTLY_SOLD,51745555,3294.0,-1,4.0,4.0,USA,USD,acres,True,
149,29,1639641600000,SINGLE_FAMILY,0.38,"2115 Freda Dr, Vienna, VA 22181",https://photos.zillowstatic.com/fp/24b1c5af7d2807dc65011bd461f27298-p_e.jpg,980000,,-77.27947,38.911774,RECENTLY_SOLD,51769083,2442.0,-1,5.0,3.0,USA,USD,acres,True,
150,30,1639641600000,SINGLE_FAMILY,0.43,"2434 Luckett Ave, Vienna, VA 22180",https://photos.zillowstatic.com/fp/8e5c9a0d9bad1c79b7b26609ddb3805c-p_e.jpg,1100000,,-77.24169,38.8917,RECENTLY_SOLD,51776857,3352.0,-1,4.0,4.0,USA,USD,acres,True,
151,31,1639555200000,SINGLE_FAMILY,10018.8,"230 Pleasant St SW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/bf0bb94dd0f2596a62f5ca79a3853f42-p_e.jpg,1415000,,-77.26711,38.896942,RECENTLY_SOLD,68906730,4150.0,-1,4.0,5.0,USA,USD,sqft,True,
152,32,1639555200000,SINGLE_FAMILY,1.18,"1416 Carrington Ln, Vienna, VA 22182",https://photos.zillowstatic.com/fp/c498cf43be327fd000df7c0ed6bb0370-p_e.jpg,1200000,,-77.27572,38.950485,RECENTLY_SOLD,51724917,5548.0,-1,5.0,5.0,USA,USD,sqft,True,
153,33,1639555200000,SINGLE_FAMILY,0.95,"2811 Cedar Ln, Vienna, VA 22180",https://photos.zillowstatic.com/fp/3f94910fc48cc56e2b67ac65cf6c3418-p_e.jpg,703000,,-77.24609,38.87715,RECENTLY_SOLD,51807845,1712.0,-1,3.0,3.0,USA,USD,acres,True,
154,34,1639555200000,SINGLE_FAMILY,0.39,"9475 Deramus Farm Ct, Vienna, VA 22182",https://photos.zillowstatic.com/fp/834d37cd9755ac4ee09947fca87bde21-p_e.jpg,1615000,,-77.27404,38.953568,RECENTLY_SOLD,51725417,5911.0,-1,5.0,5.0,USA,USD,acres,True,
155,35,1639555200000,SINGLE_FAMILY,0.76,"10680 Water Falls Ln, Vienna, VA 22182",https://photos.zillowstatic.com/fp/ea3e0df3062cd6150fd2b6d35faa2099-p_e.jpg,1225000,,-77.313515,38.974,RECENTLY_SOLD,60379008,5218.0,-1,4.0,5.0,USA,USD,acres,True,
156,36,1639468800000,SINGLE_FAMILY,1.06,"10728 Hunters Pl, Vienna, VA 22181",https://photos.zillowstatic.com/fp/8f2a32d681debef2f96d4a4905cf782d-p_e.jpg,1300000,,-77.31848,38.92699,RECENTLY_SOLD,51744157,4714.0,-1,4.0,4.0,USA,USD,sqft,True,
157,37,1639382400000,SINGLE_FAMILY,0.25,"2335 Riviera Dr, Vienna, VA 22181",https://photos.zillowstatic.com/fp/37e63f226aff7cda23aaf538f47788b5-p_e.jpg,1010000,,-77.28649,38.902405,RECENTLY_SOLD,51771121,2776.0,-1,4.0,4.0,USA,USD,acres,True,
158,38,1639382400000,SINGLE_FAMILY,0.47378328741965,"8911 Higdon Dr, Vienna, VA 22182","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=38.92649841308594,-77.25528717041016&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=j4U5lDGCO9zM9aRKD89_mh409RM=",1500000,,-77.25529,38.9265,RECENTLY_SOLD,51746358,1087.0,-1,,2.0,USA,USD,acres,,
159,39,1639123200000,SINGLE_FAMILY,0.45,"348 Orchard St NW, Vienna, VA 22180",https://photos.zillowstatic.com/fp/3cc02651b37e57b7e49b5008944464fc-p_e.jpg,900000,,-77.27339,38.900204,RECENTLY_SOLD,51770851,1667.0,-1,3.0,2.0,USA,USD,acres,True,
160,0,1639123200000,SINGLE_FAMILY,0.3,"2403 Holt St, Vienna, VA 22180",https://photos.zillowstatic.com/fp/0c45c86dc773653697f5491b84f56d7f-p_e.jpg,820000,,-77.22954,38.89273,RECENTLY_SOLD,51777085,2229.0,-1,5.0,3.0,USA,USD,acres,True,
